time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
8562,0.36363636363636365,0.3246753246753247,0.2824858757062147,0.3831417624521073,0.33783783783783783,0.3623188405797102,0.3436426116838488,0.35842293906810035,0.30864197530864196,0.37735849056603776,0.31545741324921134,0.3401360544217687,0.24875621890547267,0.29411764705882354,0.33444816053511706,0.3484320557491289,0.27932960893854747,0.33670033670033667,0.341296928327645,0.32573289902280134,0.3831417624521073,0.3115264797507788,0.2840909090909091,0.29673590504451036,0.3448275862068966,0.33003300330033003,0.33557046979865773
8563,0.3663003663003663,0.32894736842105265,0.2840909090909091,0.38759689922480617,0.3389830508474576,0.3663003663003663,0.3448275862068966,0.35842293906810035,0.3125,0.37593984962406013,0.31746031746031744,0.3424657534246575,0.24875621890547267,0.2976190476190476,0.3389830508474576,0.35211267605633806,0.2785515320334262,0.33783783783783783,0.3424657534246575,0.32894736842105265,0.3846153846153846,0.31545741324921134,0.28653295128939826,0.29940119760479045,0.3448275862068966,0.33222591362126247,0.3424657534246575
8564,0.36900369003690037,0.33222591362126247,0.28653295128939826,0.390625,0.3401360544217687,0.37037037037037035,0.3460207612456747,0.35842293906810035,0.3164556962025316,0.37593984962406013,0.3194888178913738,0.3448275862068966,0.24937655860349128,0.3003003003003003,0.3424657534246575,0.35587188612099646,0.2785515320334262,0.33783783783783783,0.3436426116838488,0.33222591362126247,0.3861003861003861,0.3194888178913738,0.28735632183908044,0.3021148036253776,0.3460207612456747,0.33444816053511706,0.3472222222222222
8565,0.3717472118959108,0.33557046979865773,0.28901734104046245,0.39370078740157477,0.3424657534246575,0.3731343283582089,0.3460207612456747,0.35842293906810035,0.3205128205128205,0.37453183520599254,0.3215434083601286,0.3460207612456747,0.25,0.30303030303030304,0.3448275862068966,0.35842293906810035,0.2801120448179272,0.33783783783783783,0.3448275862068966,0.33557046979865773,0.38910505836575876,0.32573289902280134,0.2881844380403458,0.3067484662576687,0.3472222222222222,0.3389830508474576,0.35211267605633806
8566,0.37453183520599254,0.3389830508474576,0.29069767441860467,0.3968253968253968,0.3424657534246575,0.37593984962406013,0.3472222222222222,0.35842293906810035,0.3194888178913738,0.3731343283582089,0.3236245954692557,0.3484320557491289,0.24937655860349128,0.30864197530864196,0.3484320557491289,0.3597122302158274,0.2808988764044944,0.33670033670033667,0.3460207612456747,0.33670033670033667,0.39370078740157477,0.33222591362126247,0.28901734104046245,0.30959752321981426,0.3472222222222222,0.3424657534246575,0.35714285714285715
8567,0.37593984962406013,0.3424657534246575,0.29239766081871343,0.4,0.3448275862068966,0.3787878787878788,0.3472222222222222,0.35842293906810035,0.3194888178913738,0.3731343283582089,0.32573289902280134,0.3496503496503497,0.24937655860349128,0.3115264797507788,0.3508771929824561,0.36101083032490977,0.2808988764044944,0.33670033670033667,0.3472222222222222,0.33670033670033667,0.3952569169960475,0.33783783783783783,0.29069767441860467,0.3115264797507788,0.3472222222222222,0.3448275862068966,0.36101083032490977
8568,0.3787878787878788,0.3436426116838488,0.29325513196480935,0.40322580645161293,0.3472222222222222,0.38167938931297707,0.3472222222222222,0.35842293906810035,0.3205128205128205,0.3717472118959108,0.32679738562091504,0.3484320557491289,0.24875621890547267,0.31347962382445144,0.35335689045936397,0.36101083032490977,0.2808988764044944,0.33557046979865773,0.3460207612456747,0.33783783783783783,0.39840637450199207,0.3436426116838488,0.2881844380403458,0.3125,0.3484320557491289,0.3472222222222222,0.36496350364963503
8569,0.3802281368821293,0.3448275862068966,0.29325513196480935,0.4048582995951417,0.3496503496503497,0.3831417624521073,0.3460207612456747,0.35714285714285715,0.3215434083601286,0.37037037037037035,0.3278688524590164,0.3484320557491289,0.24875621890547267,0.31545741324921134,0.3546099290780142,0.36101083032490977,0.2801120448179272,0.33444816053511706,0.3460207612456747,0.3389830508474576,0.4,0.3472222222222222,0.28653295128939826,0.31347962382445144,0.3496503496503497,0.3460207612456747,0.36900369003690037
8570,0.3802281368821293,0.3460207612456747,0.29325513196480935,0.4065040650406504,0.3508771929824561,0.3861003861003861,0.3460207612456747,0.35714285714285715,0.3215434083601286,0.36900369003690037,0.32894736842105265,0.3496503496503497,0.24813895781637715,0.3164556962025316,0.35714285714285715,0.36101083032490977,0.2785515320334262,0.33444816053511706,0.3460207612456747,0.3401360544217687,0.40322580645161293,0.35211267605633806,0.2849002849002849,0.31545741324921134,0.3508771929824561,0.341296928327645,0.3717472118959108
8571,0.38167938931297707,0.3472222222222222,0.29239766081871343,0.4081632653061224,0.3546099290780142,0.38759689922480617,0.3460207612456747,0.35714285714285715,0.3225806451612903,0.3676470588235294,0.32894736842105265,0.3508771929824561,0.24813895781637715,0.3164556962025316,0.35842293906810035,0.3623188405797102,0.2777777777777778,0.3333333333333333,0.3460207612456747,0.341296928327645,0.4081632653061224,0.35587188612099646,0.2824858757062147,0.3164556962025316,0.35335689045936397,0.33783783783783783,0.37453183520599254
8572,0.3831417624521073,0.3472222222222222,0.28901734104046245,0.4098360655737705,0.35587188612099646,0.38910505836575876,0.3472222222222222,0.35714285714285715,0.3236245954692557,0.3663003663003663,0.33003300330033003,0.35335689045936397,0.24813895781637715,0.3164556962025316,0.36101083032490977,0.3623188405797102,0.27624309392265195,0.33222591362126247,0.3472222222222222,0.3401360544217687,0.4115226337448559,0.36101083032490977,0.2824858757062147,0.31545741324921134,0.3546099290780142,0.33783783783783783,0.37593984962406013
8573,0.3846153846153846,0.3472222222222222,0.28169014084507044,0.4115226337448559,0.35842293906810035,0.3921568627450981,0.3460207612456747,0.35714285714285715,0.32679738562091504,0.36496350364963503,0.33112582781456956,0.35587188612099646,0.24752475247524752,0.31746031746031744,0.3623188405797102,0.36101083032490977,0.27624309392265195,0.33003300330033003,0.3472222222222222,0.3401360544217687,0.41493775933609955,0.36496350364963503,0.2824858757062147,0.30959752321981426,0.35714285714285715,0.33557046979865773,0.37735849056603776
8574,0.37735849056603776,0.3460207612456747,0.27322404371584696,0.4065040650406504,0.35842293906810035,0.3921568627450981,0.3448275862068966,0.35714285714285715,0.33003300330033003,0.36363636363636365,0.33222591362126247,0.35842293906810035,0.24752475247524752,0.31347962382445144,0.35335689045936397,0.35714285714285715,0.27624309392265195,0.32573289902280134,0.3472222222222222,0.3389830508474576,0.42016806722689076,0.36363636363636365,0.28328611898017,0.3021148036253776,0.3597122302158274,0.33112582781456956,0.36900369003690037
8575,0.3597122302158274,0.3436426116838488,0.2645502645502646,0.38759689922480617,0.3460207612456747,0.3831417624521073,0.3436426116838488,0.35714285714285715,0.3246753246753247,0.36101083032490977,0.33112582781456956,0.3597122302158274,0.2469135802469136,0.3067484662576687,0.3401360544217687,0.35335689045936397,0.273972602739726,0.3215434083601286,0.3460207612456747,0.33557046979865773,0.425531914893617,0.35587188612099646,0.2857142857142857,0.29239766081871343,0.36101083032490977,0.3225806451612903,0.3546099290780142
8576,0.341296928327645,0.33783783783783783,0.25839793281653745,0.36900369003690037,0.33444816053511706,0.3731343283582089,0.3401360544217687,0.35842293906810035,0.31446540880503143,0.3597122302158274,0.32573289902280134,0.36101083032490977,0.2469135802469136,0.29325513196480935,0.3205128205128205,0.3496503496503497,0.2717391304347826,0.3164556962025316,0.3436426116838488,0.32894736842105265,0.42194092827004215,0.3484320557491289,0.2840909090909091,0.2840909090909091,0.3623188405797102,0.3115264797507788,0.33783783783783783
8577,0.3205128205128205,0.33003300330033003,0.2557544757033248,0.3472222222222222,0.3205128205128205,0.36101083032490977,0.33557046979865773,0.3597122302158274,0.30303030303030304,0.3597122302158274,0.3194888178913738,0.35714285714285715,0.2469135802469136,0.2785515320334262,0.3003003003003003,0.3436426116838488,0.2695417789757412,0.31347962382445144,0.3424657534246575,0.3225806451612903,0.41493775933609955,0.33783783783783783,0.27932960893854747,0.2777777777777778,0.3623188405797102,0.29850746268656714,0.3184713375796178
8578,0.3048780487804878,0.3225806451612903,0.25380710659898476,0.32679738562091504,0.3067484662576687,0.3484320557491289,0.33222591362126247,0.36101083032490977,0.29411764705882354,0.3597122302158274,0.31347962382445144,0.3508771929824561,0.2469135802469136,0.267379679144385,0.2849002849002849,0.33222591362126247,0.2680965147453083,0.3115264797507788,0.3401360544217687,0.31746031746031744,0.4065040650406504,0.33003300330033003,0.2747252747252747,0.27548209366391185,0.3623188405797102,0.28735632183908044,0.3048780487804878
8579,0.2976190476190476,0.31746031746031744,0.25380710659898476,0.31545741324921134,0.29850746268656714,0.3389830508474576,0.33003300330033003,0.36363636363636365,0.2881844380403458,0.3597122302158274,0.30959752321981426,0.3448275862068966,0.2469135802469136,0.2610966057441253,0.27548209366391185,0.3194888178913738,0.267379679144385,0.3115264797507788,0.3401360544217687,0.3125,0.4048582995951417,0.32679738562091504,0.27027027027027023,0.2770083102493075,0.36363636363636365,0.28169014084507044,0.29940119760479045
8580,0.29850746268656714,0.3164556962025316,0.2577319587628866,0.3164556962025316,0.29673590504451036,0.33670033670033667,0.33112582781456956,0.36363636363636365,0.2849002849002849,0.3597122302158274,0.3076923076923077,0.33783783783783783,0.2469135802469136,0.2597402597402597,0.27624309392265195,0.3115264797507788,0.2680965147453083,0.3125,0.3389830508474576,0.3115264797507788,0.4065040650406504,0.33112582781456956,0.2680965147453083,0.28328611898017,0.3663003663003663,0.2808988764044944,0.30120481927710846
8581,0.3105590062111801,0.3184713375796178,0.2610966057441253,0.3333333333333333,0.30303030303030304,0.3460207612456747,0.33444816053511706,0.36496350364963503,0.28328611898017,0.36101083032490977,0.30864197530864196,0.3333333333333333,0.2469135802469136,0.2638522427440633,0.2857142857142857,0.3067484662576687,0.2695417789757412,0.31347962382445144,0.33670033670033667,0.3164556962025316,0.4065040650406504,0.3436426116838488,0.26666666666666666,0.28735632183908044,0.3717472118959108,0.2840909090909091,0.31545741324921134
8582,0.3215434083601286,0.3246753246753247,0.26246719160104987,0.3460207612456747,0.3215434083601286,0.3597122302158274,0.33557046979865773,0.36363636363636365,0.2849002849002849,0.3623188405797102,0.31545741324921134,0.3333333333333333,0.2469135802469136,0.2680965147453083,0.29239766081871343,0.3048780487804878,0.2724795640326976,0.31545741324921134,0.3333333333333333,0.32894736842105265,0.4,0.35211267605633806,0.26666666666666666,0.28901734104046245,0.37453183520599254,0.28901734104046245,0.32573289902280134
8583,0.3278688524590164,0.3278688524590164,0.26246719160104987,0.35335689045936397,0.33222591362126247,0.36900369003690037,0.33670033670033667,0.3623188405797102,0.29154518950437314,0.36363636363636365,0.3225806451612903,0.33783783783783783,0.2469135802469136,0.27027027027027023,0.29673590504451036,0.3048780487804878,0.2747252747252747,0.31746031746031744,0.32894736842105265,0.3333333333333333,0.3952569169960475,0.35587188612099646,0.26666666666666666,0.29069767441860467,0.3787878787878788,0.29239766081871343,0.33222591362126247
8584,0.33222591362126247,0.32894736842105265,0.2631578947368421,0.35842293906810035,0.341296928327645,0.37453183520599254,0.33783783783783783,0.36101083032490977,0.29850746268656714,0.36363636363636365,0.32679738562091504,0.341296928327645,0.2469135802469136,0.2710027100271003,0.29940119760479045,0.3021148036253776,0.27548209366391185,0.3215434083601286,0.32679738562091504,0.33783783783783783,0.38910505836575876,0.36101083032490977,0.26881720430107525,0.2898550724637681,0.3831417624521073,0.29325513196480935,0.33557046979865773
8585,0.33444816053511706,0.33112582781456956,0.2631578947368421,0.3623188405797102,0.3508771929824561,0.3787878787878788,0.33783783783783783,0.35842293906810035,0.30303030303030304,0.36496350364963503,0.33112582781456956,0.3424657534246575,0.2469135802469136,0.2710027100271003,0.30120481927710846,0.2976190476190476,0.27548209366391185,0.3246753246753247,0.3246753246753247,0.3448275862068966,0.3831417624521073,0.36496350364963503,0.2717391304347826,0.2881844380403458,0.38759689922480617,0.29325513196480935,0.3389830508474576
8586,0.33557046979865773,0.3333333333333333,0.26246719160104987,0.36496350364963503,0.35842293906810035,0.3846153846153846,0.3401360544217687,0.35587188612099646,0.30959752321981426,0.36496350364963503,0.33444816053511706,0.3424657534246575,0.2469135802469136,0.27027027027027023,0.30303030303030304,0.29239766081871343,0.27624309392265195,0.32679738562091504,0.3236245954692557,0.3472222222222222,0.3787878787878788,0.3676470588235294,0.2717391304347826,0.28735632183908044,0.390625,0.29239766081871343,0.3401360544217687
8587,0.33557046979865773,0.3401360544217687,0.2617801047120419,0.3663003663003663,0.3663003663003663,0.38910505836575876,0.3401360544217687,0.35211267605633806,0.31545741324921134,0.36363636363636365,0.33783783783783783,0.3401360544217687,0.2469135802469136,0.27027027027027023,0.30303030303030304,0.28735632183908044,0.27624309392265195,0.3278688524590164,0.32573289902280134,0.3496503496503497,0.37453183520599254,0.36900369003690037,0.2710027100271003,0.28653295128939826,0.39370078740157477,0.29239766081871343,0.3401360544217687
8588,0.33557046979865773,0.341296928327645,0.26246719160104987,0.36900369003690037,0.3717472118959108,0.3921568627450981,0.341296928327645,0.3472222222222222,0.3215434083601286,0.3623188405797102,0.3401360544217687,0.33783783783783783,0.2469135802469136,0.2695417789757412,0.303951367781155,0.2840909090909091,0.2770083102493075,0.33003300330033003,0.32894736842105265,0.3508771929824561,0.3731343283582089,0.3717472118959108,0.2695417789757412,0.2857142857142857,0.3968253968253968,0.29154518950437314,0.3401360544217687
8589,0.33557046979865773,0.3436426116838488,0.2631578947368421,0.36900369003690037,0.37593984962406013,0.3968253968253968,0.341296928327645,0.3424657534246575,0.32894736842105265,0.36101083032490977,0.3424657534246575,0.33444816053511706,0.2469135802469136,0.2695417789757412,0.30303030303030304,0.2840909090909091,0.2785515320334262,0.33112582781456956,0.33003300330033003,0.3496503496503497,0.36900369003690037,0.3731343283582089,0.26881720430107525,0.2857142857142857,0.39840637450199207,0.29239766081871343,0.33783783783783783
8590,0.33670033670033667,0.3460207612456747,0.2638522427440633,0.36900369003690037,0.3846153846153846,0.4,0.341296928327645,0.3389830508474576,0.33444816053511706,0.3597122302158274,0.3448275862068966,0.33003300330033003,0.2469135802469136,0.2695417789757412,0.3021148036253776,0.2881844380403458,0.2801120448179272,0.3333333333333333,0.33112582781456956,0.3484320557491289,0.3676470588235294,0.37453183520599254,0.27027027027027023,0.2849002849002849,0.3968253968253968,0.29239766081871343,0.33557046979865773
