time,AT,BE,BG,CZ,CH,DE,DK,EE,ES,FI,FR,UK,EL,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
7129,0.303951367781155,0.26666666666666666,0.29239766081871343,0.2824858757062147,0.29411764705882354,0.2590673575129534,0.26666666666666666,0.2801120448179272,0.24752475247524752,0.2785515320334262,0.25252525252525254,0.2645502645502646,0.24813895781637715,0.26246719160104987,0.29673590504451036,0.2898550724637681,0.2695417789757412,0.29325513196480935,0.2898550724637681,0.2557544757033248,0.31347962382445144,0.28735632183908044,0.24630541871921185,0.31446540880503143,0.29411764705882354,0.28735632183908044,0.3236245954692557
7130,0.3058103975535168,0.26881720430107525,0.2958579881656805,0.2824858757062147,0.29069767441860467,0.2604166666666667,0.26881720430107525,0.2785515320334262,0.24813895781637715,0.2824858757062147,0.2518891687657431,0.26595744680851063,0.24875621890547267,0.2617801047120419,0.29940119760479045,0.28901734104046245,0.26881720430107525,0.29154518950437314,0.28901734104046245,0.2570694087403599,0.3115264797507788,0.2857142857142857,0.24630541871921185,0.31746031746031744,0.29411764705882354,0.28735632183908044,0.3278688524590164
7131,0.3058103975535168,0.26881720430107525,0.29325513196480935,0.28328611898017,0.28901734104046245,0.2617801047120419,0.27027027027027023,0.2808988764044944,0.24875621890547267,0.2857142857142857,0.2531645569620253,0.2695417789757412,0.24875621890547267,0.2610966057441253,0.3021148036253776,0.2881844380403458,0.26881720430107525,0.2898550724637681,0.28901734104046245,0.25641025641025644,0.3125,0.2840909090909091,0.24630541871921185,0.31545741324921134,0.2949852507374631,0.28735632183908044,0.33112582781456956
7132,0.3058103975535168,0.2680965147453083,0.27932960893854747,0.28328611898017,0.2881844380403458,0.2631578947368421,0.27027027027027023,0.2785515320334262,0.24875621890547267,0.2857142857142857,0.25380710659898476,0.2717391304347826,0.2469135802469136,0.2610966057441253,0.3048780487804878,0.28653295128939826,0.27027027027027023,0.28735632183908044,0.28653295128939826,0.2544529262086514,0.31446540880503143,0.2824858757062147,0.2469135802469136,0.2976190476190476,0.2958579881656805,0.28901734104046245,0.3333333333333333
7133,0.29325513196480935,0.267379679144385,0.2617801047120419,0.27624309392265195,0.28735632183908044,0.2631578947368421,0.26881720430107525,0.2724795640326976,0.24937655860349128,0.27932960893854747,0.2544529262086514,0.273972602739726,0.24630541871921185,0.25380710659898476,0.29673590504451036,0.2840909090909091,0.267379679144385,0.28328611898017,0.2824858757062147,0.2531645569620253,0.3164556962025316,0.27624309392265195,0.2469135802469136,0.27932960893854747,0.2949852507374631,0.2785515320334262,0.3215434083601286
7134,0.2747252747252747,0.2631578947368421,0.24875621890547267,0.2645502645502646,0.27624309392265195,0.25839793281653745,0.2617801047120419,0.26525198938992045,0.24813895781637715,0.2717391304347826,0.25252525252525254,0.27548209366391185,0.24630541871921185,0.24875621890547267,0.28328611898017,0.2824858757062147,0.2577319587628866,0.2785515320334262,0.2770083102493075,0.2518891687657431,0.3105590062111801,0.26595744680851063,0.2469135802469136,0.25839793281653745,0.28735632183908044,0.26246719160104987,0.303951367781155
7135,0.2557544757033248,0.25641025641025644,0.24752475247524752,0.25380710659898476,0.2680965147453083,0.2518891687657431,0.2544529262086514,0.2577319587628866,0.2469135802469136,0.26525198938992045,0.24813895781637715,0.27624309392265195,0.24630541871921185,0.24630541871921185,0.2645502645502646,0.2801120448179272,0.25252525252525254,0.27322404371584696,0.2717391304347826,0.24937655860349128,0.3021148036253776,0.25380710659898476,0.2469135802469136,0.24875621890547267,0.2785515320334262,0.2506265664160401,0.2801120448179272
7136,0.24752475247524752,0.24937655860349128,0.2469135802469136,0.2469135802469136,0.2577319587628866,0.2469135802469136,0.24937655860349128,0.25510204081632654,0.24630541871921185,0.2617801047120419,0.2469135802469136,0.2717391304347826,0.24630541871921185,0.24630541871921185,0.24937655860349128,0.2747252747252747,0.24937655860349128,0.26666666666666666,0.2645502645502646,0.24630541871921185,0.2949852507374631,0.24813895781637715,0.24630541871921185,0.2469135802469136,0.27027027027027023,0.24630541871921185,0.25641025641025644
7137,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25,0.24630541871921185,0.2469135802469136,0.25380710659898476,0.24630541871921185,0.2604166666666667,0.2469135802469136,0.26595744680851063,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.26595744680851063,0.24752475247524752,0.2617801047120419,0.2604166666666667,0.24630541871921185,0.2881844380403458,0.2469135802469136,0.24630541871921185,0.2469135802469136,0.2638522427440633,0.24630541871921185,0.24752475247524752
7138,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.24630541871921185,0.24752475247524752,0.25252525252525254,0.24630541871921185,0.2604166666666667,0.2469135802469136,0.2604166666666667,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2577319587628866,0.2469135802469136,0.2557544757033248,0.2577319587628866,0.24630541871921185,0.28328611898017,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.2610966057441253,0.24630541871921185,0.24630541871921185
7139,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.24630541871921185,0.24752475247524752,0.2518891687657431,0.24630541871921185,0.2638522427440633,0.24630541871921185,0.2570694087403599,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25,0.24630541871921185,0.25125628140703515,0.25641025641025644,0.24630541871921185,0.2801120448179272,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.2604166666666667,0.24630541871921185,0.24630541871921185
7140,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.24630541871921185,0.24752475247524752,0.2610966057441253,0.24630541871921185,0.2710027100271003,0.24630541871921185,0.25380710659898476,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24875621890547267,0.24630541871921185,0.2544529262086514,0.2590673575129534,0.24630541871921185,0.2808988764044944,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.2617801047120419,0.24630541871921185,0.24630541871921185
7141,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.24630541871921185,0.24937655860349128,0.2680965147453083,0.24630541871921185,0.2777777777777778,0.24630541871921185,0.2518891687657431,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.24937655860349128,0.24630541871921185,0.2617801047120419,0.2631578947368421,0.24630541871921185,0.28328611898017,0.24630541871921185,0.24630541871921185,0.24937655860349128,0.26525198938992045,0.24630541871921185,0.24630541871921185
7142,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.2544529262086514,0.2724795640326976,0.24630541871921185,0.28169014084507044,0.24630541871921185,0.25125628140703515,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.2506265664160401,0.2469135802469136,0.26666666666666666,0.26881720430107525,0.24630541871921185,0.29069767441860467,0.24630541871921185,0.24630541871921185,0.2544529262086514,0.2695417789757412,0.24630541871921185,0.24630541871921185
7143,0.2469135802469136,0.24630541871921185,0.24813895781637715,0.24630541871921185,0.2531645569620253,0.24630541871921185,0.2597402597402597,0.27624309392265195,0.24630541871921185,0.2840909090909091,0.2469135802469136,0.2506265664160401,0.24630541871921185,0.24630541871921185,0.24630541871921185,0.25510204081632654,0.24813895781637715,0.2695417789757412,0.27322404371584696,0.24630541871921185,0.29850746268656714,0.2469135802469136,0.24630541871921185,0.25839793281653745,0.273972602739726,0.24630541871921185,0.24752475247524752
7144,0.24813895781637715,0.24630541871921185,0.24875621890547267,0.2469135802469136,0.25510204081632654,0.2469135802469136,0.26246719160104987,0.2785515320334262,0.24630541871921185,0.2857142857142857,0.2469135802469136,0.2506265664160401,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.2617801047120419,0.25,0.2717391304347826,0.27624309392265195,0.24630541871921185,0.3058103975535168,0.24813895781637715,0.24630541871921185,0.2610966057441253,0.2777777777777778,0.2469135802469136,0.24875621890547267
7145,0.25,0.24630541871921185,0.24937655860349128,0.24752475247524752,0.25641025641025644,0.2469135802469136,0.2617801047120419,0.2808988764044944,0.24630541871921185,0.2857142857142857,0.2469135802469136,0.2506265664160401,0.24630541871921185,0.24630541871921185,0.2469135802469136,0.26881720430107525,0.25125628140703515,0.27322404371584696,0.2785515320334262,0.24630541871921185,0.3125,0.24937655860349128,0.24630541871921185,0.2638522427440633,0.2801120448179272,0.24752475247524752,0.2531645569620253
7146,0.25252525252525254,0.24630541871921185,0.25125628140703515,0.24813895781637715,0.2577319587628866,0.2469135802469136,0.2570694087403599,0.28169014084507044,0.2469135802469136,0.2840909090909091,0.2469135802469136,0.25125628140703515,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.2770083102493075,0.2518891687657431,0.273972602739726,0.2770083102493075,0.24630541871921185,0.3164556962025316,0.25125628140703515,0.24630541871921185,0.26666666666666666,0.28328611898017,0.25,0.25641025641025644
7147,0.25510204081632654,0.24630541871921185,0.2544529262086514,0.24813895781637715,0.2590673575129534,0.24752475247524752,0.2531645569620253,0.28169014084507044,0.24752475247524752,0.2824858757062147,0.2469135802469136,0.25380710659898476,0.24630541871921185,0.24630541871921185,0.24752475247524752,0.28328611898017,0.25252525252525254,0.27548209366391185,0.2747252747252747,0.24630541871921185,0.3194888178913738,0.25252525252525254,0.24630541871921185,0.2710027100271003,0.28653295128939826,0.2518891687657431,0.2597402597402597
7148,0.2577319587628866,0.24630541871921185,0.25839793281653745,0.24813895781637715,0.2610966057441253,0.24752475247524752,0.24875621890547267,0.27932960893854747,0.24875621890547267,0.2801120448179272,0.2469135802469136,0.2577319587628866,0.24630541871921185,0.24630541871921185,0.25,0.2881844380403458,0.25252525252525254,0.2777777777777778,0.2747252747252747,0.24630541871921185,0.3205128205128205,0.2544529262086514,0.24630541871921185,0.27548209366391185,0.2881844380403458,0.25380710659898476,0.26246719160104987
7149,0.2604166666666667,0.24630541871921185,0.2631578947368421,0.25,0.2638522427440633,0.24752475247524752,0.24752475247524752,0.27624309392265195,0.24875621890547267,0.2785515320334262,0.2469135802469136,0.2617801047120419,0.2469135802469136,0.24630541871921185,0.2518891687657431,0.29154518950437314,0.25252525252525254,0.2801120448179272,0.2770083102493075,0.24630541871921185,0.3194888178913738,0.2557544757033248,0.24630541871921185,0.2808988764044944,0.2881844380403458,0.2557544757033248,0.26525198938992045
7150,0.2631578947368421,0.24630541871921185,0.267379679144385,0.25125628140703515,0.2645502645502646,0.24752475247524752,0.24630541871921185,0.27548209366391185,0.24937655860349128,0.27932960893854747,0.2469135802469136,0.26666666666666666,0.2469135802469136,0.24630541871921185,0.2544529262086514,0.2949852507374631,0.25510204081632654,0.2824858757062147,0.2808988764044944,0.24630541871921185,0.3184713375796178,0.2577319587628866,0.2469135802469136,0.2857142857142857,0.28735632183908044,0.2577319587628866,0.2695417789757412
7151,0.26666666666666666,0.24630541871921185,0.2717391304347826,0.25380710659898476,0.26525198938992045,0.24752475247524752,0.24630541871921185,0.27624309392265195,0.24937655860349128,0.2808988764044944,0.2469135802469136,0.2724795640326976,0.2469135802469136,0.2469135802469136,0.2570694087403599,0.29940119760479045,0.2557544757033248,0.2840909090909091,0.2824858757062147,0.24630541871921185,0.31446540880503143,0.2590673575129534,0.2469135802469136,0.2881844380403458,0.2849002849002849,0.25839793281653745,0.2724795640326976
7152,0.2680965147453083,0.24630541871921185,0.27548209366391185,0.25641025641025644,0.2645502645502646,0.24752475247524752,0.24630541871921185,0.2785515320334262,0.24937655860349128,0.28169014084507044,0.2469135802469136,0.2777777777777778,0.24752475247524752,0.2469135802469136,0.2604166666666667,0.303951367781155,0.2544529262086514,0.2857142857142857,0.2857142857142857,0.24630541871921185,0.3105590062111801,0.25839793281653745,0.24752475247524752,0.29069767441860467,0.28169014084507044,0.2577319587628866,0.27548209366391185
7153,0.27027027027027023,0.24630541871921185,0.2785515320334262,0.2590673575129534,0.2638522427440633,0.24813895781637715,0.24630541871921185,0.2801120448179272,0.25,0.2808988764044944,0.24752475247524752,0.2808988764044944,0.24752475247524752,0.2469135802469136,0.2631578947368421,0.3076923076923077,0.2544529262086514,0.2857142857142857,0.28653295128939826,0.24630541871921185,0.3048780487804878,0.25839793281653745,0.24813895781637715,0.29325513196480935,0.2770083102493075,0.25641025641025644,0.2785515320334262
7154,0.2710027100271003,0.24630541871921185,0.28169014084507044,0.2610966057441253,0.2638522427440633,0.24813895781637715,0.24630541871921185,0.28169014084507044,0.25,0.2801120448179272,0.24752475247524752,0.2857142857142857,0.24752475247524752,0.2469135802469136,0.26595744680851063,0.3115264797507788,0.25252525252525254,0.28653295128939826,0.28735632183908044,0.24630541871921185,0.3003003003003003,0.2577319587628866,0.24875621890547267,0.2958579881656805,0.2710027100271003,0.25510204081632654,0.2808988764044944
7155,0.2724795640326976,0.24752475247524752,0.2808988764044944,0.2645502645502646,0.26246719160104987,0.24813895781637715,0.24630541871921185,0.28328611898017,0.2506265664160401,0.27932960893854747,0.24875621890547267,0.29069767441860467,0.24752475247524752,0.2469135802469136,0.2680965147453083,0.31347962382445144,0.25125628140703515,0.2840909090909091,0.2881844380403458,0.24937655860349128,0.29673590504451036,0.25839793281653745,0.24875621890547267,0.2949852507374631,0.26595744680851063,0.2518891687657431,0.28328611898017
7156,0.2724795640326976,0.2544529262086514,0.26595744680851063,0.267379679144385,0.2631578947368421,0.24875621890547267,0.2469135802469136,0.28328611898017,0.2518891687657431,0.2785515320334262,0.25,0.2949852507374631,0.2469135802469136,0.2469135802469136,0.27027027027027023,0.31446540880503143,0.2506265664160401,0.2785515320334262,0.2857142857142857,0.25510204081632654,0.29411764705882354,0.2597402597402597,0.24937655860349128,0.2770083102493075,0.2610966057441253,0.24937655860349128,0.2849002849002849
7157,0.2680965147453083,0.2610966057441253,0.2544529262086514,0.26525198938992045,0.2631578947368421,0.24937655860349128,0.24875621890547267,0.2785515320334262,0.25252525252525254,0.273972602739726,0.2544529262086514,0.3003003003003003,0.24630541871921185,0.24630541871921185,0.26595744680851063,0.31545741324921134,0.2506265664160401,0.26881720430107525,0.27932960893854747,0.2590673575129534,0.29325513196480935,0.25641025641025644,0.24937655860349128,0.2638522427440633,0.2570694087403599,0.2469135802469136,0.2801120448179272
